id;coupon_id;product_id;code;use_validity;valid_from;valid_to;count;count_remaining;unique_per_customer;subtotal;discount_type;discount_amount;discount_max_amount;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;9071;30622;marathon why unwritten;true;2025-04-08T16:35:26;2025-04-08T23:27:51;16708;17252;true;11368.81;as afore;18381.71;18902.89;false;false;2025-04-08T09:14:43;24543;2025-04-08T13:02:37;23947
2;2069;17448;dramatic forenenst including;true;2025-04-08T18:16:05;2025-04-09T04:38:19;22841;5695;true;14618.5;teammate once;29766.28;23526.41;true;false;2025-04-08T14:01:21;21123;2025-04-09T02:25:37;23276
3;25579;2951;suitcase whoever;true;2025-04-08T08:07:13;2025-04-08T15:44:10;23935;24122;true;19123.84;sternly;28280.27;17.75;true;false;2025-04-09T04:34:28;32497;2025-04-08T19:20:28;22496
4;10618;13235;judgementally;true;2025-04-08T08:35:17;2025-04-08T06:03:03;11334;17630;true;17745.14;ultimate;14770.39;25483.21;false;false;2025-04-08T10:27:37;17971;2025-04-08T14:58:51;15952
5;27960;19599;meanwhile;false;2025-04-08T05:29:43;2025-04-08T17:16:48;24353;8076;false;4138.94;why;19143.57;24983.36;false;true;2025-04-09T03:34:45;24366;2025-04-08T12:50:11;352
6;7774;29641;defiantly authentic harmful;false;2025-04-09T03:12:29;2025-04-08T21:33:08;16808;16804;true;23037.54;maintainer far-flung;23303.46;3208.65;true;false;2025-04-08T09:16:40;6089;2025-04-08T15:41:47;9232
7;30966;1743;odd;false;2025-04-08T11:38:38;2025-04-08T12:22:41;2200;13326;true;24107.53;fledgling frantically unhappy;13165.59;23967.85;true;false;2025-04-08T18:15:50;4613;2025-04-08T13:19:09;27669
8;21367;21503;yearningly;true;2025-04-08T12:31:44;2025-04-08T12:38:09;32585;7897;false;992.82;off than supplier;3373.63;30623.69;false;false;2025-04-08T07:56:10;22726;2025-04-08T13:10:31;31818
9;9895;27895;till anticodon sermon;false;2025-04-08T15:49:48;2025-04-08T08:18:56;20829;17605;true;21867.49;daily during splay;27160.62;22839.63;true;true;2025-04-08T19:54:36;21554;2025-04-08T07:28:15;16074
10;32091;32124;wretched ah celebrated;false;2025-04-08T10:03:16;2025-04-08T11:16:33;3016;23142;false;5183.28;equally;1123.49;6040.91;false;false;2025-04-08T16:30:41;11339;2025-04-09T01:51:00;5242
