id;country_id;name;is_active;status;created_at;created_by;updated_at;updated_by
1;12398;boo;true;false;2025-04-07T23:26:01;bobble round;2025-04-07T11:24:42;26834
2;16061;gosh;true;true;2025-04-07T09:26:05;honorable plain;2025-04-07T12:44:06;16374
3;31232;which;false;false;2025-04-07T06:37:00;plus when of;2025-04-08T00:43:49;5428
4;17299;madly proud;false;false;2025-04-07T20:58:32;axe;2025-04-08T02:23:07;11762
5;8074;deed knowledgeable;true;true;2025-04-07T21:16:48;on;2025-04-07T15:40:07;19034
6;26800;boo;false;true;2025-04-07T19:06:13;surprisingly boo;2025-04-07T19:29:52;27847
7;1559;fake;true;true;2025-04-07T06:51:23;repeatedly versus;2025-04-07T18:14:46;12484
8;29477;yippee normal ick;true;true;2025-04-07T08:35:23;amidst;2025-04-08T01:33:44;17096
9;13490;gee;true;true;2025-04-07T15:22:55;rebel;2025-04-07T13:31:25;26421
10;21523;if helpfully swear;false;true;2025-04-08T02:24:34;steel underachieve;2025-04-07T09:44:22;8232
