id;country_id;name;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;13854;achieve eyebrow;true;false;2025-03-26T18:51:01;1375;2025-03-26T16:22:24;11271
2;21016;collectivization pulp;false;true;2025-03-27T02:09:39;17486;2025-03-27T06:52:46;10938
3;17530;tensely whoever completion;false;true;2025-03-27T05:10:29;3935;2025-03-27T02:37:13;6924
4;18662;pertinent;true;true;2025-03-27T05:09:04;23356;2025-03-26T20:07:02;27845
5;15528;per;true;true;2025-03-26T21:01:38;28800;2025-03-26T08:05:19;14437
6;30994;lasting dishearten;true;false;2025-03-26T18:01:00;1472;2025-03-27T07:43:04;9656
7;21666;upliftingly upwardly;true;true;2025-03-26T14:59:56;16183;2025-03-26T10:44:32;1282
8;30092;gallivant;false;true;2025-03-26T14:58:35;27701;2025-03-27T00:08:38;20793
9;11001;uh-huh;false;true;2025-03-26T13:54:49;14771;2025-03-26T12:43:56;8437
10;18169;boastfully;false;false;2025-03-26T23:52:08;29684;2025-03-27T03:20:39;11163
