id;country_id;name;name_en;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;22243;furthermore sustenance;meander midst paintwork;false;true;2025-04-07T17:35:05;27062;2025-04-07T19:31:42;28132
2;20575;bah now;if supposing;false;true;2025-04-08T01:52:05;9460;2025-04-07T06:51:17;19565
3;21669;toward;gee;false;true;2025-04-07T11:57:23;19702;2025-04-07T10:07:40;29830
4;19590;unaccountably bowler;astride parched;false;false;2025-04-08T01:40:46;30664;2025-04-07T20:19:21;8599
5;18316;packaging phooey;quickly whoever gosh;true;true;2025-04-07T18:25:50;13032;2025-04-08T02:50:30;2088
6;10082;mmm unused than;reword regarding;false;true;2025-04-07T20:36:56;31485;2025-04-07T18:26:50;4273
7;375;advanced;hence who;true;true;2025-04-07T19:21:45;19185;2025-04-07T05:47:24;17105
8;18100;however;charter duh weekly;true;true;2025-04-07T17:51:37;24587;2025-04-07T18:51:20;13997
9;368;unconscious aha;yum whoever well-documented;false;true;2025-04-07T11:33:12;19731;2025-04-07T11:24:04;29587
10;30810;hm pfft because;bicycle;false;false;2025-04-07T16:27:35;7056;2025-04-08T02:50:30;6278
