id;country_id;province_id;city_id;district_id;village_id;code;is_active;status;created_at;created_by;updated_at;updated_by
1;25037;2167;20529;12362;3972;finally given;true;true;2025-04-07T20:36:50;22652;2025-04-08T02:39:19;5259
2;1178;21639;16736;30520;16695;however;false;false;2025-04-07T16:21:43;30403;2025-04-08T04:05:26;7083
3;14363;25107;27068;20934;30601;midst;false;true;2025-04-07T20:13:08;6257;2025-04-07T06:51:10;26169
4;21128;510;28680;20882;4945;shiny;true;true;2025-04-07T14:45:44;18921;2025-04-07T12:52:06;21697
5;29179;19057;10982;4747;29163;hydrolyze junior;true;false;2025-04-07T07:40:08;9571;2025-04-07T23:31:04;101
6;832;32592;12841;24470;11188;vibraphone;true;false;2025-04-07T10:21:17;6693;2025-04-07T22:18:24;23381
7;28473;31917;1731;9792;11939;likewise;false;true;2025-04-07T23:34:08;28440;2025-04-08T04:03:28;8473
8;25997;26074;25918;16914;12025;restructure weatherize impolite;true;true;2025-04-07T19:20:06;20500;2025-04-07T18:34:50;5341
9;7178;23094;32289;27082;20796;manipulate wherever;true;false;2025-04-07T06:20:41;17172;2025-04-07T10:41:45;9475
10;10693;10904;23038;19708;18977;plastic;true;false;2025-04-08T03:36:34;25126;2025-04-07T23:16:34;11603
