id;faq_category_id;question;question_en;answer;answer_en;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;30188;zowie whoever;against tuba haversack;awkwardly chromakey;broadside fast;true;false;2025-04-08T00:53:38;14111;2025-04-08T01:46:53;28041
2;25614;indeed;although;judgementally as broken;sympathetically righteously pish;false;true;2025-04-07T05:28:05;27711;2025-04-07T09:28:25;341
3;10270;deployment;while;whenever um;supposing;true;false;2025-04-07T13:15:51;27771;2025-04-07T14:18:20;29154
4;23778;consequently respectful yahoo;gazebo book indeed;unless grouchy quarrel;incidentally whereas inhibit;true;true;2025-04-07T07:32:41;4805;2025-04-08T00:58:48;18220
5;19645;slow blah;quaver because;mmm doodle precedent;connect;true;true;2025-04-07T09:47:08;3202;2025-04-07T11:08:59;21062
6;27719;verbally;conjecture apud instead;scare yowza manipulate;tooth given physically;false;true;2025-04-07T12:54:14;21016;2025-04-07T06:14:15;23276
7;18388;longingly when;yuck;eternity what ha;miskey molasses;false;false;2025-04-07T20:29:33;14182;2025-04-07T10:04:24;7595
8;23465;buzzing than alive;jazz yowza;diligently;winged now;true;false;2025-04-07T06:08:10;30104;2025-04-07T13:17:46;26690
9;12251;toothpick acceptable early;swine anenst out;helplessly competent carefree;instead drat satisfy;false;true;2025-04-07T13:36:15;15895;2025-04-08T01:30:03;856
10;23330;represent boldly save;over except;elliptical failing which;backburn given;true;false;2025-04-07T06:15:09;23241;2025-04-07T16:18:39;10580
