id;country_id;domain;sub_domain;uri;is_main;is_active;created_at;created_by;updated_at;updated_by
1;19774;aha husky;couch poetry wilt;pricey develop;false;true;2025-03-26T15:35:01;2750;2025-03-26T17:40:44;10590
2;20513;deliberately daily numb;after cautiously whup;archive anxiously;true;true;2025-03-26T16:28:36;22927;2025-03-26T22:40:38;14399
3;23883;authorized generously haircut;nucleotidase;embossing major;false;true;2025-03-26T21:17:46;23618;2025-03-27T06:07:19;11456
4;32077;noteworthy;delectable convince under;whoa structure;true;false;2025-03-26T23:42:07;32035;2025-03-27T06:38:35;26190
5;28205;lest;misspend when greatly;emulsify;false;true;2025-03-27T02:23:11;27200;2025-03-26T12:03:52;976
6;29818;consequently how striking;loyally since;but towards;true;true;2025-03-26T10:07:47;14720;2025-03-26T19:05:55;559
7;24586;for;rationalize yum;off;true;false;2025-03-26T21:54:27;12544;2025-03-26T11:46:57;4704
8;23682;croon;indeed readily phew;sometimes so starboard;false;false;2025-03-27T06:10:00;823;2025-03-27T03:13:25;2342
9;15649;consign;sushi generally mousse;splosh that if;false;true;2025-03-27T05:22:36;15433;2025-03-26T09:16:30;21454
10;28786;versus out;responsible;ring;false;true;2025-03-27T08:07:30;16705;2025-03-26T11:43:37;5419
