id;country_id;logo;sub_domain;name;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;6555;nor;galoshes like sore;squiggly since;true;true;2025-03-26T10:25:50;27764;2025-03-27T00:01:51;22294
2;7171;phew too yearningly;toward gee since;yieldingly usefully phooey;false;true;2025-03-26T11:58:20;15889;2025-03-26T13:08:43;32382
3;13776;but shimmering after;thump confusion;what or;false;true;2025-03-26T16:33:03;6287;2025-03-26T10:06:12;10855
4;2351;yowza neatly;plus;er yowza ditch;true;false;2025-03-26T14:17:58;32110;2025-03-26T11:02:22;15632
5;15504;hm into;pro;wherever armoire;false;true;2025-03-26T18:04:00;11587;2025-03-27T02:43:35;11677
6;29768;gnaw yawningly yowza;alongside forenenst actually;ah;true;true;2025-03-26T14:29:11;27296;2025-03-26T10:45:32;314
7;13514;concrete recklessly overconfidently;whoa;beyond;false;true;2025-03-26T12:08:43;3323;2025-03-26T09:05:01;30554
8;29676;eke;hence treasure bar;paintwork warmly;false;true;2025-03-27T06:49:35;14503;2025-03-26T16:58:36;2590
9;23718;disconnection profane;excluding;around;true;false;2025-03-26T08:54:54;24495;2025-03-26T12:45:43;23452
10;8781;reconstitute yippee gadzooks;upon;augment;true;true;2025-03-27T01:57:38;3540;2025-03-26T17:27:48;31931
