id;country_id;province_id;alias;name;code;delivery_price;is_active;status;created_at;created_by;updated_at;updated_by
1;11079;7747;furthermore the;gosh decide;quiet tail;23772.41;false;false;2025-04-07T20:31:58;18158;2025-04-07T14:46:54;11583
2;22356;15877;although memorable;finally;about crossly;29826.1;false;true;2025-04-08T02:16:34;7342;2025-04-07T21:26:16;2765
3;32072;31509;bolster switchboard;barring representation;awkwardly object;1187.23;true;false;2025-04-07T22:59:08;10664;2025-04-07T21:20:46;3658
4;24576;15389;during;minus ack inborn;when;15980.11;true;true;2025-04-08T02:57:49;13621;2025-04-07T23:20:07;11803
5;1151;1446;provided if phooey;familiarize;advertisement well although;6364.54;true;false;2025-04-07T04:54:50;26279;2025-04-07T05:32:06;29135
6;11018;4225;on;willfully drat decongestant;crossly but till;21004.85;false;true;2025-04-07T10:43:42;29094;2025-04-08T03:59:58;61
7;20740;3014;through culture;innocently;eek ugh roughly;5365.77;false;true;2025-04-07T05:03:45;29380;2025-04-07T23:30:13;24057
8;17802;25054;lest;likewise dally emerge;vaguely shoot thoughtfully;2329.06;false;false;2025-04-07T09:47:12;19030;2025-04-07T21:40:47;23770
9;8148;13586;plus engender whoever;plus;failing oof downshift;29836.02;false;true;2025-04-07T06:24:36;1669;2025-04-07T23:09:43;4259
10;12155;21400;arrogantly;responsibility when which;incidentally apud;15731.98;true;false;2025-04-07T15:03:10;12284;2025-04-07T22:05:41;31174
